"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Argentina,Algeria,Refugees,48,50,50,55,57,59,58,58,46,45,45,45,45,41
Argentina,Algeria,Asylum seekers,11,11,11,12,12,10,9,9,,,,,,
Argentina,Angola,Refugees,11,11,11,13,13,13,15,15,15,14,14,13,13,13
Argentina,Angola,Asylum seekers,3,5,5,2,2,2,3,2,1,,2,2,,*
Argentina,Armenia,Refugees,15,18,18,31,63,87,84,84,106,111,122,122,126,122
Argentina,Armenia,Asylum seekers,139,123,112,50,25,16,10,10,12,16,5,5,6,10
Argentina,Azerbaijan,Asylum seekers,2,2,2,1,1,1,1,1,,,,,,
Argentina,Bangladesh,Refugees,6,6,6,6,8,9,7,7,13,11,9,9,7,
Argentina,Bangladesh,Asylum seekers,15,23,23,19,19,6,8,15,4,12,15,33,36,9
Argentina,Belarus,Refugees,,,,,1,1,1,1,1,1,1,1,1,*
Argentina,Benin,Refugees,,,,,,,,,,,,,1,*
Argentina,Benin,Asylum seekers,6,6,6,7,7,7,7,1,,,,,,
Argentina,Bolivarian Republic of Venezuela,Refugees,,,,,,,,,1,1,1,1,1,*
Argentina,Bolivarian Republic of Venezuela,Asylum seekers,,,,,1,1,1,3,1,3,4,7,4,*
Argentina,Bosnia and Herzegovina,Refugees,8,8,8,8,8,8,8,8,6,6,6,6,6,6
Argentina,Botswana,Asylum seekers,,,,,,,,,,,1,1,,
Argentina,Brazil,Refugees,,,,,,,,,,,,,,*
Argentina,Brazil,Asylum seekers,,,,,,1,1,2,,,,,1,
Argentina,Brazil,Returned refugees,,,,,4,,,,,,,,,
Argentina,Bulgaria,Refugees,1,1,1,1,1,1,1,1,2,2,2,2,2,*
Argentina,Bulgaria,Asylum seekers,5,5,5,5,5,4,5,5,,,,,,
Argentina,Burkina Faso,Asylum seekers,,,,,,,,,,,1,,,
Argentina,Burundi,Refugees,,,,2,2,2,2,2,3,6,6,5,5,5
Argentina,Burundi,Asylum seekers,,,,,1,1,,3,,,1,2,2,*
Argentina,Cambodia,Refugees,,,24,44,51,51,49,49,,,,,,
Argentina,Cameroon,Refugees,,,,,,1,2,3,4,5,7,8,8,11
Argentina,Cameroon,Asylum seekers,,,,,8,21,18,19,2,,14,27,14,8
Argentina,Cape Verde,Asylum seekers,,,,,,,,,1,1,1,,,
Argentina,Central African Republic,Refugees,,,,,,1,1,1,2,2,2,2,2,*
Argentina,Central African Republic,Asylum seekers,,,,1,4,5,5,5,,,1,,1,
Argentina,Chad,Refugees,,,,,1,1,1,1,1,1,1,2,2,*
Argentina,Chad,Asylum seekers,,,,1,,3,3,3,1,,,,,
Argentina,Chile,Refugees,10,10,10,11,13,13,13,13,153,335,336,336,336,36
Argentina,Chile,Asylum seekers,5,5,5,6,9,11,12,11,1,,1,8,7,6
Argentina,China,Refugees,,,,,,,,,,,,,,*
Argentina,China,Asylum seekers,,,,,1,1,1,1,,,,1,1,
Argentina,Colombia,Refugees,19,22,17,18,34,48,100,152,179,381,403,456,497,526
Argentina,Colombia,Asylum seekers,31,39,49,44,57,123,145,219,68,98,203,486,510,302
Argentina,Congo,Refugees,,,,,,,11,11,10,9,9,9,9,9
Argentina,Congo,Asylum seekers,10,12,,,,,25,25,2,,13,1,1,
Argentina,Costa Rica,Refugees,,,,,,,,,,6,6,6,6,5
Argentina,Costa Rica,Asylum seekers,,,,,,,,,,,1,,,
Argentina,Côte d'Ivoire,Refugees,,,,,,1,2,10,11,22,22,37,37,36
Argentina,Côte d'Ivoire,Asylum seekers,2,2,2,2,2,5,11,7,21,,9,6,,*
Argentina,Croatia,Refugees,,,,,,,,,2,2,2,2,2,*
Argentina,Cuba,Refugees,169,169,185,194,232,260,265,272,324,340,338,340,340,345
Argentina,Cuba,Asylum seekers,97,132,129,106,93,43,45,64,12,13,29,79,97,93
Argentina,Cuba,Returned refugees,,,,,,,,,1,,,,,
Argentina,Czech Republic,Asylum seekers,,,,,,,,,,1,1,,,
Argentina,Democratic Republic of the Congo,Refugees,7,7,8,8,11,14,5,5,7,6,6,8,13,16
Argentina,Democratic Republic of the Congo,Asylum seekers,8,8,19,20,22,20,,,,,,8,6,7
Argentina,Dominican Republic,Refugees,,,,,,,,,1,2,2,2,2,*
Argentina,Dominican Republic,Asylum seekers,7,7,6,6,6,5,7,15,121,161,119,150,201,74
Argentina,Ecuador,Refugees,,,,,,,,,1,12,13,13,15,15
Argentina,Ecuador,Asylum seekers,3,5,4,2,3,1,1,3,3,3,3,3,5,
Argentina,Egypt,Refugees,,,,,,,,,,,,,,5
Argentina,Egypt,Asylum seekers,,,,,,,,,2,,,,6,*
Argentina,El Salvador,Refugees,1,1,,,,,,,,,6,10,10,13
Argentina,El Salvador,Asylum seekers,,,,,,,,,,,4,12,14,6
Argentina,Equatorial Guinea,Asylum seekers,,,,,,,,,,,,1,,
Argentina,Eritrea,Refugees,,,,,,,,,2,2,2,2,2,*
Argentina,Eritrea,Asylum seekers,,,,,,,,6,,,,,,
Argentina,Estonia,Refugees,,,,2,2,2,2,2,,,,,,
Argentina,Estonia,Asylum seekers,4,4,4,6,4,4,4,4,,,,,,
Argentina,Ethiopia,Refugees,1,1,4,4,4,4,4,5,6,5,5,4,4,*
Argentina,Ethiopia,Asylum seekers,,,,2,,,,,,,,,,
Argentina,Federal Republic of Yugoslavia,Refugees,,1,2,,,,,,,,,,,
Argentina,Federal Republic of Yugoslavia,Asylum seekers,1,1,,,,,,,,,,,,
Argentina,Gambia,Refugees,,,,,,,,,,1,1,1,2,*
Argentina,Gambia,Asylum seekers,,,,,,,,1,1,,,1,1,*
Argentina,Georgia,Refugees,1,,3,5,5,5,5,5,3,5,5,5,5,5
Argentina,Georgia,Asylum seekers,3,,2,2,,1,1,1,,5,1,,,
Argentina,Germany,Asylum seekers,,,,,,,,,,,,,,*
Argentina,Ghana,Refugees,2,1,1,5,5,7,11,11,20,26,27,38,46,62
Argentina,Ghana,Asylum seekers,6,8,7,6,5,11,5,7,12,,12,16,18,10
Argentina,Guatemala,Refugees,,,,,,,,,,1,1,1,1,*
Argentina,Guatemala,Asylum seekers,,,,2,2,1,1,1,,,,,1,*
Argentina,Guinea,Refugees,4,7,7,14,16,18,23,24,1,6,6,7,9,10
Argentina,Guinea,Asylum seekers,5,4,7,6,8,7,4,9,,,,7,3,8
Argentina,Guinea-Bissau,Refugees,,,,,,,,,24,18,18,18,19,19
Argentina,Guinea-Bissau,Asylum seekers,,,,,,1,1,1,5,4,2,1,3,*
Argentina,Guyana,Asylum seekers,,,,,,,,,,,1,1,1,*
Argentina,Haiti,Refugees,6,5,5,5,14,21,23,32,41,43,47,57,58,62
Argentina,Haiti,Asylum seekers,15,32,30,36,35,16,24,51,,24,36,29,22,47
Argentina,Haiti,Returned refugees,1,,,,,,,,,,,,,
Argentina,Honduras,Refugees,,,,,,,,,,,,,,*
Argentina,Honduras,Asylum seekers,,,,,,,,,,2,3,10,10,7
Argentina,Hungary,Refugees,1,1,,,,,,,,,,,,
Argentina,Hungary,Asylum seekers,,,,,,2,2,2,,,9,13,14,11
Argentina,India,Refugees,13,16,16,20,25,28,28,27,34,37,36,34,33,32
Argentina,India,Asylum seekers,18,21,20,13,7,1,3,28,9,15,34,49,61,37
Argentina,Iraq,Refugees,13,18,19,22,24,24,25,26,25,29,27,26,25,25
Argentina,Iraq,Asylum seekers,5,,2,2,,3,2,2,1,,,4,2,*
Argentina,Islamic Republic of Iran,Refugees,27,27,28,29,28,28,28,28,20,22,22,22,22,18
Argentina,Islamic Republic of Iran,Asylum seekers,7,7,9,9,13,13,13,13,,,,,,
Argentina,Italy,Refugees,,,,,,,,2,1,1,1,1,1,*
Argentina,Italy,Asylum seekers,,,,,,,,1,,,,,,
Argentina,Jamaica,Asylum seekers,,,,,,,,,,,,,1,
Argentina,Japan,Asylum seekers,,,,,,,,,,,,,1,*
Argentina,Jordan,Asylum seekers,,,,,,,,,,,,,1,
Argentina,Kazakhstan,Refugees,81,79,79,80,88,96,96,99,23,22,22,22,22,22
Argentina,Kazakhstan,Asylum seekers,1,3,3,6,11,3,3,3,2,,3,,3,
Argentina,Kenya,Refugees,,,,,,,,,1,1,1,1,1,*
Argentina,Kenya,Asylum seekers,,,,,,1,2,1,,,,1,,
Argentina,Kyrgyzstan,Refugees,,,3,3,3,3,3,3,3,3,3,3,3,*
Argentina,Kyrgyzstan,Asylum seekers,3,3,3,3,3,5,5,3,,,,,,
Argentina,Lao People's Democratic Republic,Refugees,1321,1321,1321,1328,1329,1333,1333,1333,1,,,,,
Argentina,Latvia,Refugees,2,2,2,2,2,2,2,2,,,,,,
Argentina,Latvia,Asylum seekers,,,,,1,1,1,1,,,,,,
Argentina,Lebanon,Refugees,3,3,3,4,4,4,4,4,,,,,,
Argentina,Lebanon,Asylum seekers,,,,,,,,,,,,2,2,
Argentina,Liberia,Refugees,49,49,50,55,63,70,74,75,64,67,68,65,69,69
Argentina,Liberia,Asylum seekers,20,22,22,26,24,29,24,27,1,3,15,16,3,
Argentina,Libya,Asylum seekers,,,,,,,,,,,,2,3,*
Argentina,Lithuania,Refugees,2,2,2,2,2,2,2,2,,,,,,
Argentina,Lithuania,Asylum seekers,,,,,,,,,,,,1,,
Argentina,Mali,Refugees,10,10,10,21,22,19,19,19,16,14,14,14,16,19
Argentina,Mali,Asylum seekers,,,3,2,4,5,6,5,,,,,6,*
Argentina,Mauritania,Refugees,1,1,1,1,1,1,1,1,1,1,2,2,2,*
Argentina,Mauritania,Asylum seekers,,,,,1,1,1,1,2,2,,,,
Argentina,Mexico,Refugees,,,,,,,,,1,1,1,1,1,*
Argentina,Mexico,Asylum seekers,,,,,,,,,1,,1,4,5,*
Argentina,Morocco,Refugees,,,,,,,,,2,2,2,2,2,*
Argentina,Morocco,Asylum seekers,1,1,1,1,1,,,,,,1,2,1,5
Argentina,Myanmar,Asylum seekers,,,,,,,,,,,1,,1,
Argentina,Namibia,Asylum seekers,,,,,,,,,,,1,,,
Argentina,Nepal,Asylum seekers,,,,,,,,,,,,4,2,
Argentina,New Zealand,Refugees,,,,,,,,,1,,,,,
Argentina,Nicaragua,Refugees,,8,8,8,6,6,6,6,2,2,2,2,2,*
Argentina,Nicaragua,Asylum seekers,8,,,,,,,,1,1,,,,
Argentina,Niger,Refugees,1,1,1,1,1,1,1,1,,,,,,
Argentina,Nigeria,Refugees,22,21,22,26,31,31,35,40,45,50,51,50,52,50
Argentina,Nigeria,Asylum seekers,20,30,30,29,32,30,35,40,13,12,28,75,43,20
Argentina,Occupied Palestinian Territory,Asylum seekers,,,,,,1,1,1,,,,,,
Argentina,Pakistan,Refugees,31,30,35,40,42,37,37,36,38,41,41,42,41,43
Argentina,Pakistan,Asylum seekers,12,15,11,8,7,6,8,15,3,,,5,7,5
Argentina,Paraguay,Refugees,,,1,1,1,1,1,1,2,3,3,3,3,*
Argentina,Paraguay,Asylum seekers,3,3,2,2,2,2,3,6,,5,8,10,13,14
Argentina,Peru,Refugees,324,307,324,365,418,457,470,485,618,588,585,582,582,582
Argentina,Peru,Asylum seekers,636,687,699,541,388,241,216,201,3,7,2,29,31,28
Argentina,Plurinational State of Bolivia,Refugees,,,1,1,1,2,2,2,3,3,3,3,3,*
Argentina,Plurinational State of Bolivia,Asylum seekers,2,4,5,3,3,3,6,5,1,1,,3,1,
Argentina,Poland,Refugees,2,2,,,,,,,,,,,,
Argentina,Poland,Asylum seekers,,,,,,,1,1,,,,,,
Argentina,Republic of Moldova,Asylum seekers,,,,,,,1,1,,,,,,
Argentina,Romania,Refugees,,,1,1,1,1,1,1,52,54,54,53,53,54
Argentina,Romania,Asylum seekers,5,66,41,13,13,3,3,3,,,,,1,
Argentina,Russian Federation,Refugees,12,16,16,20,34,42,39,40,51,58,60,59,60,61
Argentina,Russian Federation,Asylum seekers,42,47,47,35,25,31,25,24,1,2,,5,13,20
Argentina,Rwanda,Refugees,,,,,,,,,1,1,1,1,1,*
Argentina,Rwanda,Asylum seekers,3,3,3,5,5,5,5,5,,,,,,
Argentina,Senegal,Refugees,32,31,31,42,65,66,66,64,71,59,65,67,67,66
Argentina,Senegal,Asylum seekers,38,58,77,70,48,61,94,124,,,,36,671,118
Argentina,Serbia (and Kosovo: S/RES/1244 (1999)),Refugees,,,,,,,9,9,20,18,18,17,17,17
Argentina,Serbia (and Kosovo: S/RES/1244 (1999)),Asylum seekers,,,,,,,1,6,,1,1,,,
Argentina,Serbia and Montenegro,Refugees,,,,9,9,9,,,,,,,,
Argentina,Sierra Leone,Refugees,8,10,19,47,71,73,75,75,71,63,59,56,53,41
Argentina,Sierra Leone,Asylum seekers,32,75,71,55,31,16,15,18,7,7,1,5,3,*
Argentina,Singapore,Asylum seekers,,,,,,,,,,,,,1,*
Argentina,Slovakia,Asylum seekers,,,,,,,,,,,,,,*
Argentina,Somalia,Refugees,5,1,,,,,,,5,5,5,5,5,5
Argentina,Somalia,Asylum seekers,7,3,3,3,3,3,3,3,,1,2,2,2,
Argentina,South Africa,Refugees,,,2,2,2,2,2,3,3,3,3,3,3,*
Argentina,South Africa,Asylum seekers,1,,1,1,2,2,2,1,1,1,1,3,3,*
Argentina,Spain,Asylum seekers,,,,,2,2,2,3,,3,5,6,6,5
Argentina,Sri Lanka,Refugees,33,33,33,34,37,37,37,37,38,37,34,34,34,34
Argentina,Sri Lanka,Asylum seekers,,8,9,5,2,1,1,3,1,4,1,1,1,
Argentina,Stateless,Refugees,,,,,,1,1,1,1,1,3,3,7,10
Argentina,Stateless,Asylum seekers,,,,,,1,,,,2,3,7,7,
Argentina,Sudan,Refugees,1,1,1,1,1,1,2,3,3,4,3,3,3,*
Argentina,Sudan,Asylum seekers,,,,,,2,3,4,,,2,,1,*
Argentina,Suriname,Refugees,,3,,,,,,,,,,,,
Argentina,Suriname,Asylum seekers,,1,1,1,1,1,1,2,,,,,,
Argentina,Syrian Arab Republic,Refugees,,,,,,,,,,,,,40,159
Argentina,Syrian Arab Republic,Asylum seekers,,,,,,,,,,,,,9,12
Argentina,Togo,Refugees,,,,,,,,1,1,1,2,2,2,*
Argentina,Togo,Asylum seekers,,,,,,2,2,1,,,1,1,1,*
Argentina,Tunisia,Refugees,,,,,,,,,2,2,2,2,2,*
Argentina,Tunisia,Asylum seekers,3,2,2,2,2,3,3,5,,,,,1,*
Argentina,Turkey,Refugees,9,9,5,5,5,6,6,6,12,10,10,10,11,12
Argentina,Turkey,Asylum seekers,1,1,2,1,1,,,,1,2,2,2,2,*
Argentina,Turkmenistan,Refugees,,,,,,,,,2,2,2,2,2,*
Argentina,Ukraine,Refugees,,,2,3,10,11,11,11,24,19,19,18,18,24
Argentina,Ukraine,Asylum seekers,13,25,23,17,18,11,11,15,,2,1,7,13,7
Argentina,United Kingdom,Asylum seekers,,,,,,,,,,,,,2,
Argentina,United Republic of Tanzania,Asylum seekers,,,,,,,,,2,3,2,2,3,*
Argentina,United States,Refugees,,,,,,,,,3,3,3,3,3,*
Argentina,United States,Asylum seekers,,,,,,,,,,1,1,,1,*
Argentina,Uruguay,Refugees,,,,,1,1,1,1,,,,,,
Argentina,Uruguay,Asylum seekers,,,,,1,1,1,1,,,2,1,1,
Argentina,Uzbekistan,Asylum seekers,1,1,1,1,1,2,1,1,,,,,,
Argentina,Viet Nam,Refugees,33,33,33,33,33,33,32,32,1,,,,,
Argentina,Yemen,Refugees,,,,,,,,,,,,,15,15
Argentina,Yemen,Asylum seekers,,,,,,,,,,,,20,5,
Argentina,Zambia,Asylum seekers,,,,,,,,,,,1,,,
Argentina,Zimbabwe,Refugees,,,,,2,2,2,2,2,2,2,2,3,*
Argentina,Zimbabwe,Asylum seekers,,,,,,,,,,,2,2,1,
Argentina,Various,Refugees,34,30,,,,,,,572,549,549,549,548,550
Argentina,Various,Asylum seekers,2,8,8,5,4,,,,410,332,332,,,*
Armenia,Afghanistan,Asylum seekers,,,,,,1,,,,,,,,
Armenia,Armenia,Others of concern,,,,,,,,,,82231,82519,82938,,
Armenia,Azerbaijan,Refugees,280586,264327,247538,239250,235101,219324,113224,3815,3082,2681,2347,1928,1716,1607
Armenia,Azerbaijan,Asylum seekers,,,,,,,,,,,,1,,
Armenia,Cameroon,Asylum seekers,,,,,,,,,,,,,1,*
Armenia,China,Asylum seekers,,,,,,,,,,,2,1,,
Armenia,Congo,Asylum seekers,,,,,,,,,,,,,3,*
Armenia,Côte d'Ivoire,Refugees,,,,,,,,,,,1,8,6,6
Armenia,Côte d'Ivoire,Asylum seekers,,,,,,,,,,1,3,,4,*
Armenia,Cuba,Refugees,,,,,,,,,,,1,1,,
Armenia,Cuba,Asylum seekers,,,,,,,,,1,1,,,,
Armenia,Ethiopia,Refugees,,,,,,,,,,1,1,,1,*
Armenia,Federal Republic of Yugoslavia,Returned refugees,,1,,,,,,,,,,,,
Armenia,Georgia,Refugees,,,,,1,1,1,1,1,8,11,11,8,8
Armenia,Georgia,Asylum seekers,,,,,,,,,123,9,1,,,
Armenia,Ghana,Asylum seekers,,,,,,,,,,,,,,*
Armenia,Guinea,Asylum seekers,,,,,,,,,,,,1,3,*
Armenia,Iraq,Refugees,2,4,6,34,127,218,459,718,837,870,888,923,943,967
Armenia,Iraq,Asylum seekers,,1,2,25,64,64,75,92,34,22,,1,16,5
Armenia,Islamic Republic of Iran,Refugees,,3,3,3,3,4,6,7,9,22,22,18,21,27
Armenia,Islamic Republic of Iran,Asylum seekers,,,1,2,2,2,,3,8,5,7,12,11,13
Armenia,Israel,Refugees,,,,,,,5,5,5,5,5,,,
Armenia,Kazakhstan,Refugees,,,,,,,1,1,1,1,1,1,1,*
Armenia,Kazakhstan,Asylum seekers,,,,,,1,,,,,,,,
Armenia,Lebanon,Refugees,,,,,,,14,14,14,14,14,14,14,17
Armenia,Lebanon,Asylum seekers,,,,,1,,1,1,,,,1,4,*
Armenia,Mali,Asylum seekers,,,,,,,,,,,,1,1,*
Armenia,Nigeria,Asylum seekers,,,,,,,,,,,1,,,
Armenia,Occupied Palestinian Territory,Refugees,,,,,,,,,,,,5,,
Armenia,Occupied Palestinian Territory,Asylum seekers,,,,,1,,,,,,,,,
Armenia,Palestinian,Refugees,,,,,,,,,,,,,5,5
Armenia,Palestinian,Asylum seekers,,,,,,,,,,,,,,*
Armenia,Poland,Asylum seekers,,,,1,,,,,,,,,,
Armenia,Republic of Moldova,Returned refugees,,,,,,,,,,,,,1,
Armenia,Russian Federation,Refugees,,,,,2,1,1,1,1,1,1,1,1,*
Armenia,Russian Federation,Asylum seekers,,,,2,,,,,1,,,,,
Armenia,Somalia,Refugees,2,2,2,,,,,,,,,,,
Armenia,Sri Lanka,Asylum seekers,,,,,,,,,1,,,,,
Armenia,Stateless,Stateless,,,,,,,,,,,6,11,35,180
Armenia,Sudan,Refugees,1,1,1,1,,,,,,,,,,
Armenia,Syrian Arab Republic,Refugees,,,,,,,,,,,,6,136,11090
Armenia,Syrian Arab Republic,Asylum seekers,,,,3,,,2,2,,,,2,340,42
Armenia,Syrian Arab Republic,Others of concern,,,,,,,,,,,,,5500,
Armenia,Turkey,Refugees,,,,1,1,2,3,3,3,4,4,2,2,*
Armenia,Turkey,Asylum seekers,,,,1,,1,,,3,1,9,5,,*
Armenia,Turkmenistan,Refugees,,,,,,,,1,,,,,,
Armenia,Ukraine,Asylum seekers,,,,2,,1,,,,,,,,
Armenia,Ukraine,Returned refugees,,,,,,,,,1,,,,,
Aruba,Colombia,Refugees,,,,,,,,,,,,,,*
Aruba,Colombia,Asylum seekers,,,,,,,,,,,1,3,5,*
Aruba,Cuba,Asylum seekers,,,,,,,,,,,,1,1,*
Aruba,Stateless,Stateless,,,,,,,,,,,,,,*
Australia,Afghanistan,Refugees,4358,6262,6943,7240,8037,8082,7908,4990,4933,5664,5518,4826,7192,8368
Australia,Afghanistan,Asylum seekers,376,452,128,379,289,30,16,14,28,55,67,124,1074,939
Australia,Albania,Refugees,63,67,62,40,22,13,16,64,49,49,46,51,58,66
Australia,Albania,Asylum seekers,56,62,52,40,12,7,11,6,5,9,18,23,21,21
Australia,Algeria,Refugees,331,335,256,137,67,24,16,194,84,32,20,14,11,10
Australia,Algeria,Asylum seekers,28,22,12,9,,3,1,4,2,3,,3,3,9
Australia,Angola,Refugees,11,11,10,8,3,1,2,11,10,5,3,3,2,*
Australia,Angola,Asylum seekers,7,8,5,,,,1,,1,1,,,,
Australia,Argentina,Refugees,,,,,,,,,,1,1,1,1,*
Australia,Argentina,Asylum seekers,5,20,21,6,,1,2,,,,2,,,
Australia,Armenia,Refugees,5,3,5,4,4,5,6,8,7,7,7,7,4,*
Australia,Armenia,Asylum seekers,12,11,7,3,,1,1,1,,,1,2,2,*
Australia,Australia,Refugees,1,1,1,2,,,,1,1,2,,,3,
Australia,Australia,Asylum seekers,1,4,1,,,1,,,,1,,,,*
Australia,Austria,Refugees,14,13,5,4,,2,2,,,,,,,
Australia,Austria,Asylum seekers,1,,,,,2,,1,,,,1,1,
Australia,Azerbaijan,Refugees,1,1,1,2,2,2,2,4,4,4,3,3,3,*
Australia,Azerbaijan,Asylum seekers,3,8,6,1,,2,,,,,,,1,*
Australia,Bahrain,Refugees,5,6,5,5,4,3,10,18,20,22,22,62,74,82
Australia,Bahrain,Asylum seekers,3,2,1,3,,8,3,4,1,2,9,8,14,8
Australia,Bangladesh,Refugees,114,106,111,50,68,86,118,237,208,235,252,286,334,343
Australia,Bangladesh,Asylum seekers,365,488,350,89,74,58,47,43,61,41,70,109,161,430
Australia,Belarus,Refugees,5,13,12,15,13,14,7,17,17,15,16,8,6,*
Australia,Belarus,Asylum seekers,26,20,9,5,,2,,,,,,,,*
Australia,Belgium,Refugees,2,2,2,2,,,,2,2,,,,,
Australia,Belgium,Asylum seekers,,,1,,,1,,,,,,,1,*
Australia,Benin,Refugees,,,,,,,,,,1,1,1,1,*
Australia,Benin,Asylum seekers,,,,,,,,2,1,,,1,1,
Australia,Bhutan,Refugees,2,4,4,4,3,3,1,4,4,3,2,2,2,*
Australia,Bhutan,Asylum seekers,,,,,,,,,,,,,,*
Australia,Bolivarian Republic of Venezuela,Refugees,,,,,,,,,,7,7,9,9,9
Australia,Bolivarian Republic of Venezuela,Asylum seekers,,1,4,3,,,,,,,1,,,*
Australia,Bosnia and Herzegovina,Refugees,6269,4882,3873,1942,1367,580,202,28,15,10,6,1,1,*
Australia,Bosnia and Herzegovina,Asylum seekers,6,8,6,2,,1,1,,,,,1,1,
Australia,Botswana,Refugees,,,,,,,,,,,,,,*
Australia,Botswana,Asylum seekers,,4,1,1,,,,,,,,,1,*
Australia,Brazil,Refugees,15,13,11,9,8,7,6,15,10,9,8,7,6,*
Australia,Brazil,Asylum seekers,16,27,35,16,1,4,2,,1,,5,8,9,9
Australia,Brunei Darussalam,Asylum seekers,,,,,,,,,,,1,,,
Australia,Bulgaria,Refugees,24,25,19,7,4,3,1,5,5,5,3,1,1,*
Australia,Bulgaria,Asylum seekers,49,20,11,10,,2,1,,,,1,,,
Australia,Burundi,Refugees,8,17,24,81,369,759,1478,19,24,30,31,27,28,26
Australia,Burundi,Asylum seekers,6,1,8,1,,1,,1,6,,1,4,2,9
Australia,Cambodia,Refugees,615,156,48,27,20,23,15,26,15,16,16,22,23,23
Australia,Cambodia,Asylum seekers,37,18,15,8,,4,8,1,6,1,4,20,21,24
Australia,Cameroon,Refugees,2,3,5,5,3,4,18,23,35,46,51,52,52,52
Australia,Cameroon,Asylum seekers,3,6,4,1,,1,1,3,5,7,6,8,5,5
Australia,Canada,Refugees,2,3,3,3,3,1,,3,3,3,1,,,
Australia,Canada,Asylum seekers,,2,,1,,1,,,1,,,1,2,*
Australia,Central African Republic,Refugees,,,,,,,,,,,1,,,
Australia,Chad,Refugees,2,2,1,,,1,7,1,1,2,2,2,2,*
Australia,Chad,Asylum seekers,,,,1,,,,,,,1,,2,*
Australia,Chile,Refugees,7,3,2,2,1,1,1,3,3,2,1,1,1,*
Australia,Chile,Asylum seekers,27,38,17,4,,,1,2,,,,,,
Australia,China,Refugees,475,323,294,281,345,537,793,1153,1467,1862,2201,2494,2678,2820
Australia,China,Asylum seekers,1004,1021,1086,553,1009,463,404,541,631,539,534,797,997,1401
